wheel,timestamp,error
right,1588319925.71,-0.0460528313918
left,1588319925.72,0.923985953668
right,1588319925.72,0.923236340287
left,1588319925.73,0.91133668605
right,1588319925.73,0.909732619267
left,1588319925.74,0.898411052247
right,1588319925.74,0.89606492337
left,1588319925.75,0.885569971225
right,1588319925.75,0.882506212759
left,1588319925.76,0.872839552082
right,1588319925.76,0.869068426741
right,1588319925.77,0.855748477998
left,1588319925.77,0.860220555709
right,1588319925.78,0.842542361955
left,1588319925.78,0.84770835116
right,1588319925.79,0.829446356735
left,1588319925.79,0.835297467267
right,1588319925.8,0.816457180777
left,1588319925.8,0.82298253355
right,1588319925.81,0.803572023992
left,1588319925.81,0.81075854331
right,1588319925.82,0.790788576497
left,1588319925.82,0.798620961643
right,1588319925.83,0.778105065025
left,1588319925.83,0.786565782084
right,1588319925.84,0.76552031024
left,1588319925.84,0.77458953745
right,1588319925.85,0.753033847792
left,1588319925.85,0.762689153637
right,1588319925.86,0.740646674216
left,1588319925.86,0.75086134908
right,1588319925.87,0.728352707155
left,1588319925.87,0.739097506844
left,1588319925.88,0.727398810867
right,1588319925.88,0.716151568096
left,1588319925.89,0.715765662856
right,1588319925.89,0.704045167692
left,1588319925.9,0.704197831104
right,1588319925.9,0.692034876249
right,1588319925.91,0.680122457838
left,1588319925.91,0.692696046675
right,1588319925.92,0.668309481928
left,1588319925.92,0.681261220361
left,1588319925.93,0.669894549004
right,1588319925.93,0.656597807335
left,1588319925.94,0.658597549482
right,1588319925.94,0.644989517436
left,1588319925.95,0.647372023315
right,1588319925.95,0.63348685701
left,1588319925.96,0.636220011357
right,1588319925.96,0.622092177456
right,1588319925.97,0.61080788737
left,1588319925.97,0.625143744747
right,1588319925.98,0.59963640767
left,1588319925.98,0.614145595334
left,1588319925.99,0.603228027576
right,1588319925.99,0.588580131096
left,1588319926.0,0.592393553219
right,1588319926.0,0.577641386188
left,1588319926.01,0.581647266334
right,1588319926.01,0.566826163051
right,1588319926.02,0.556162308558
left,1588319926.02,0.571030378036
left,1588319926.03,0.560554217017
right,1588319926.03,0.545654512406
right,1588319926.04,0.535311551279
left,1588319926.04,0.55022555804
right,1588319926.05,0.525127659797
left,1588319926.05,0.540038955902
right,1588319926.06,0.515109019078
left,1588319926.06,0.530001482962
right,1588319926.07,0.505254203842
left,1588319926.07,0.520113075253
right,1588319926.08,0.495563408868
left,1588319926.08,0.510384250641
right,1588319926.09,0.486059592511
left,1588319926.09,0.500841356026
right,1588319926.1,0.476741696341
left,1588319926.1,0.491487548729
right,1588319926.11,0.467608014943
left,1588319926.11,0.482319527178
right,1588319926.12,0.45865283004
left,1588319926.12,0.473330474851
right,1588319926.13,0.449872533239
left,1588319926.13,0.464515996358
left,1588319926.14,0.455872415186
right,1588319926.14,0.441263969926
right,1588319926.15,0.432824104011
left,1588319926.15,0.447396270018
right,1588319926.16,0.424549988145
left,1588319926.16,0.439084266893
right,1588319926.17,0.416438789561
left,1588319926.17,0.430933310861
left,1588319926.18,0.422940459918
right,1588319926.18,0.408487791767
left,1588319926.19,0.415102823048
right,1588319926.19,0.400694246135
left,1588319926.2,0.407417552976
right,1588319926.2,0.393055427558
left,1588319926.21,0.399881876162
right,1588319926.21,0.385568647216
left,1588319926.22,0.392493109456
right,1588319926.22,0.378231281521
left,1588319926.23,0.385248640879
right,1588319926.23,0.371040752581
left,1588319926.24,0.378145877964
right,1588319926.24,0.363994473124
left,1588319926.25,0.371182266396
right,1588319926.25,0.35708987997
right,1588319926.26,0.350324470072
left,1588319926.26,0.364355317685
left,1588319926.27,0.357662594689
right,1588319926.27,0.343695773606
left,1588319926.28,0.351101670126
right,1588319926.28,0.337201315181
left,1588319926.29,0.344670144397
right,1588319926.29,0.330838646121
right,1588319926.3,0.324605360434
left,1588319926.3,0.338365676446
right,1588319926.31,0.318499114882
left,1588319926.31,0.332185978208
right,1588319926.32,0.312517564937
left,1588319926.32,0.326128782706
right,1588319926.33,0.306658389467
left,1588319926.33,0.320191842146
right,1588319926.34,0.300919300501
left,1588319926.34,0.314372944131
right,1588319926.35,0.29529805397
left,1588319926.35,0.308669927928
right,1588319926.36,0.289792449551
left,1588319926.36,0.303080667144
right,1588319926.37,0.28439958414
left,1588319926.37,0.297603014426
left,1588319926.38,0.292233263567
right,1588319926.38,0.279114333423
left,1588319926.39,0.286971010167
right,1588319926.39,0.273941773295
left,1588319926.4,0.28181294424
right,1588319926.4,0.268870424367
left,1588319926.41,0.276757664937
right,1588319926.41,0.263907150987
right,1588319926.42,0.259040449658
left,1588319926.42,0.271802536781
left,1588319926.43,0.266946076776
right,1588319926.43,0.254277471796
left,1588319926.44,0.262185718712
right,1588319926.44,0.24960743156
right,1588319926.45,0.245037258695
left,1588319926.45,0.257519796979
right,1588319926.47,0.2405573459
left,1588319926.47,0.252946571818
right,1588319926.48,0.23616898245
left,1588319926.48,0.248464409737
right,1588319926.49,0.231868052824
left,1588319926.49,0.244070981233
left,1588319926.49,0.239764648134
right,1588319926.5,0.227656395741
left,1588319926.5,0.235544914901
right,1588319926.5,0.223531199809
left,1588319926.51,0.231408112374
right,1588319926.51,0.219489360634
left,1588319926.52,0.227353955931
right,1588319926.52,0.215531570239
left,1588319926.53,0.223379500475
right,1588319926.53,0.211651007241
left,1588319926.54,0.219483324146
right,1588319926.54,0.207850280226
left,1588319926.55,0.215664865263
right,1588319926.55,0.204127700976
left,1588319926.56,0.211923768082
right,1588319926.56,0.200480833514
right,1588319926.57,0.196908611867
left,1588319926.57,0.208256697177
left,1588319926.58,0.204664226519
right,1588319926.58,0.193410860709
right,1588319926.6,0.189983700486
left,1588319926.6,0.201142637416
left,1588319926.6,0.197691766409
right,1588319926.6,0.186627533333
left,1588319926.61,0.19430989146
right,1588319926.61,0.183340457514
right,1588319926.62,0.180121462527
left,1588319926.62,0.190996178711
right,1588319926.63,0.176969040446
left,1588319926.64,0.187748926966
right,1588319926.65,0.173882621928
left,1588319926.65,0.1845679021
right,1588319926.65,0.170859720651
left,1588319926.65,0.181450401247
right,1588319926.66,0.167899853935
left,1588319926.66,0.17839594338
right,1588319926.67,0.165001777427
left,1588319926.67,0.175403518331
left,1588319926.68,0.172470127838
right,1588319926.69,0.16216697527
left,1588319926.69,0.169601392589
right,1588319926.7,0.159393133358
left,1588319926.7,0.166790396657
right,1588319926.71,0.156677696848
left,1588319926.71,0.16403619053
right,1588319926.72,0.15402088983
left,1588319926.72,0.161337896265
right,1588319926.73,0.151418102409
left,1588319926.73,0.158695185165
right,1588319926.74,0.148870454796
left,1588319926.74,0.15610641665
right,1588319926.75,0.146376591779
left,1588319926.75,0.153572204575
right,1588319926.76,0.143935249754
left,1588319926.76,0.151090613618
right,1588319926.77,0.141546009824
left,1588319926.77,0.14865944525
right,1588319926.77,0.139206767391
right,1588319926.78,0.136917199895
left,1588319926.79,0.146278182601
left,1588319926.79,0.143946208583
right,1588319926.79,0.134676478493
right,1588319926.8,0.132483599335
left,1588319926.81,0.14166250703
right,1588319926.81,0.130337622378
left,1588319926.82,0.139426130726
right,1588319926.82,0.128237609783
left,1588319926.83,0.137235155594
right,1588319926.83,0.126187486847
left,1588319926.84,0.13509340684
right,1588319926.84,0.124179981111
left,1588319926.85,0.13299481149
right,1588319926.86,0.122214846919
left,1588319926.86,0.13093926552
right,1588319926.87,0.120291239897
left,1588319926.87,0.128925991199
right,1588319926.88,0.118410271292
left,1588319926.88,0.126956442891
left,1588319926.89,0.125028251993
right,1588319926.89,0.116569591532
left,1588319926.9,0.123140849777
right,1588319926.9,0.114768661011
right,1588319926.91,0.11300671646
left,1588319926.91,0.121292588372
right,1588319926.92,0.11128321542
left,1588319926.92,0.119483263292
left,1588319926.93,0.117712184782
right,1588319926.93,0.109598145537
left,1588319926.94,0.115979523755
right,1588319926.94,0.107952658369
left,1588319926.95,0.114282950537
right,1588319926.95,0.106340706
left,1588319926.96,0.112621171609
right,1588319926.96,0.104764237449
left,1588319926.97,0.110994760423
right,1588319926.97,0.103222350064
left,1588319926.98,0.109403925837
right,1588319926.98,0.101714680901
right,1588319926.99,0.100240795378
left,1588319926.99,0.107847333782
right,1588319927.0,0.0987986524485
left,1588319927.0,0.106323345661
left,1588319927.01,0.104831594951
right,1588319927.01,0.0973886755924
left,1588319927.02,0.103371727131
right,1588319927.02,0.0960122296103
left,1588319927.03,0.101944234191
right,1588319927.03,0.0946669427337
left,1588319927.04,0.100545385636
right,1588319927.04,0.0933529209281
left,1588319927.05,0.0991746977855
right,1588319927.05,0.0920641423465
right,1588319927.06,0.0908047559129
left,1588319927.06,0.0978329882218
left,1588319927.07,0.0965232930965
right,1588319927.07,0.0895770763318
left,1588319927.08,0.0952411064084
right,1588319927.08,0.0883760907979
left,1588319927.09,0.0939857033331
right,1588319927.09,0.0872020983291
left,1588319927.1,0.0927560173238
right,1588319927.1,0.0860541226122
left,1588319927.11,0.0915523778925
right,1588319927.11,0.0849319062462
left,1588319927.12,0.0903737726517
right,1588319927.12,0.0838351629958
left,1588319927.13,0.0892209141132
right,1588319927.13,0.0827640219894
right,1588319927.14,0.0817154613312
left,1588319927.14,0.0880907157328
right,1588319927.15,0.080691537605
left,1588319927.15,0.0869848837139
left,1588319927.16,0.0859024511322
right,1588319927.16,0.079690630725
left,1588319927.17,0.0848417102275
right,1588319927.17,0.0787112299756
left,1588319927.18,0.0838025748022
right,1588319927.18,0.0777539007071
left,1588319927.19,0.0827847533161
right,1588319927.19,0.0768183057127
left,1588319927.2,0.0817867397835
right,1588319927.2,0.0759028141933
left,1588319927.21,0.080807316753
right,1588319927.21,0.0750065307604
left,1588319927.22,0.0798475228085
right,1588319927.22,0.0741296924967
left,1588319927.23,0.0789066384291
right,1588319927.23,0.073271543679
left,1588319927.24,0.0779840054033
right,1588319927.24,0.072431819767
left,1588319927.25,0.0770797171269
right,1588319927.25,0.0716101792903
left,1588319927.26,0.0761925239371
right,1588319927.26,0.0708059151497
left,1588319927.27,0.075322889374
right,1588319927.27,0.0700191010857
right,1588319927.28,0.0692490121045
left,1588319927.28,0.0744697945486
right,1588319927.29,0.0684956356561
left,1588319927.29,0.0736333855753
right,1588319927.3,0.0677585139775
left,1588319927.3,0.0728131918356
right,1588319927.31,0.0670372622793
left,1588319927.31,0.0720087534006
right,1588319927.32,0.0663315080878
left,1588319927.32,0.0712196347397
left,1588319927.33,0.0704454051541
right,1588319927.33,0.0656408847426
right,1588319927.34,0.0649650303019
left,1588319927.34,0.0696856350493
right,1588319927.35,0.0643035871421
left,1588319927.35,0.0689398953479
left,1588319927.36,0.0682094329353
right,1588319927.36,0.0636570566644
right,1588319927.37,0.0630314004152
left,1588319927.37,0.0675056782739
left,1588319927.38,0.0668295517193
right,1588319927.38,0.0624263624884
left,1588319927.39,0.066179538527
right,1588319927.39,0.0618409778748
left,1588319927.4,0.065554206014
right,1588319927.4,0.0612743177855
left,1588319927.41,0.0649521947063
right,1588319927.41,0.0607255082444
left,1588319927.42,0.0643722407646
right,1588319927.42,0.0601937166777
left,1588319927.43,0.0638131510463
right,1588319927.43,0.059678167049
right,1588319927.44,0.0591781185282
left,1588319927.44,0.0632738184599
left,1588319927.45,0.0627531953734
right,1588319927.45,0.0586928847643
right,1588319927.46,0.0582218095459
left,1588319927.46,0.0622503126574
right,1588319927.47,0.0577642844122
left,1588319927.47,0.061764253439
right,1588319927.48,0.057319731287
left,1588319927.48,0.0612941678133
right,1588319927.49,0.0568876069319
left,1588319927.49,0.0608392577086
right,1588319927.5,0.0564674051567
left,1588319927.5,0.0603987743568
right,1588319927.51,0.0560586386519
left,1588319927.51,0.0599720259839
right,1588319927.52,0.0556608614723
left,1588319927.52,0.0595583502944
right,1588319927.53,0.0552736420405
left,1588319927.53,0.0591571447777
right,1588319927.54,0.0548965794385
left,1588319927.54,0.0587678312861
left,1588319927.55,0.0583898750655
right,1588319927.55,0.0545292980336
left,1588319927.56,0.0580227809431
right,1588319927.56,0.0541714330768
left,1588319927.57,0.0576660697811
right,1588319927.57,0.0538226528069
left,1588319927.58,0.0573193109307
right,1588319927.58,0.0534826360207
right,1588319927.59,0.0531510768927
left,1588319927.59,0.0569820883812
right,1588319927.6,0.0528276954217
