wheel,timestamp,state
right,1588322445.69,-0.113362946901
left,1588322445.7,-0.104582795994
 right,1588322445.7,-0.094273236864
left,1588322445.71,-0.0858465863622
right,1588322445.71,-0.0755614399087
left,1588322445.72,-0.0675237477396
right,1588322445.72,-0.0572209400174
left,1588322445.73,-0.0495484515018
right,1588322445.73,-0.0392434974298
right,1588322445.74,-0.0216223472202
left,1588322445.74,-0.0319104103122
right,1588322445.75,-0.00435448876964
left,1588322445.75,-0.0146074808883
left,1588322445.76,0.00241178846144
 right,1588322445.76,0.0125789222678
right,1588322445.77,0.0291738271115
left,1588322445.77,0.0192035189778
right,1588322445.78,0.0454393111803
left,1588322445.78,0.0356597038083
left,1588322445.79,0.0517889006757
 right,1588322445.79,0.0613827431863
left,1588322445.8,0.0676017581935
right,1588322445.8,0.0770100450045
left,1588322445.82,0.0831020194608
right,1588322445.82,0.0923276559924
left,1588322445.82,0.0982966234151
right,1588322445.82,0.107340962601
left,1588322445.83,0.113188846712
 right,1588322445.83,0.122056028229
right,1588322445.84,0.136481832211
left,1588322445.84,0.127788353197
left,1588322445.85,0.142099696602
right,1588322445.85,0.15062152033
left,1588322445.86,0.156127187644
right,1588322445.86,0.164480592379
left,1588322445.87,0.169876765634
right,1588322445.87,0.178064870027
left,1588322445.88,0.18335395684
right,1588322445.88,0.191379996789
left,1588322445.89,0.196564096604
right,1588322445.89,0.204431296124
left,1588322445.9,0.209512449628
right,1588322445.9,0.217223971656
left,1588322445.91,0.222204205872
right,1588322445.91,0.229763147294
left,1588322445.92,0.234644458623
right,1588322445.92,0.242053848141
left,1588322445.93,0.246838192729
 right,1588322445.93,0.254100999563
left,1588322445.94,0.258790294442
right,1588322445.94,0.265909455121
right,1588322445.95,0.27748390759
 left,1588322445.95,0.270505621715
left,1588322445.96,0.2819887883
right,1588322445.96,0.288828983823
left,1588322445.97,0.293244306218
right,1588322445.97,0.299949217841
left,1588322445.98,0.304276823353
right,1588322445.98,0.310849118971
left,1588322445.99,0.315090595606
 right,1588322445.99,0.321533066228
right,1588322446.0,0.332005300145
left,1588322446.0,0.325690099695
right,1588322446.01,0.342269985299
left,1588322446.01,0.336079600399
right,1588322446.02,0.35233125669
left,1588322446.02,0.346263212716
right,1588322446.03,0.362193151224
left,1588322446.03,0.356245016296
right,1588322446.04,0.371859620395
left,1588322446.04,0.366029008881
right,1588322446.05,0.381334541243
left,1588322446.05,0.375619120105
right,1588322446.06,0.390621695454
 left,1588322446.06,0.385019161572
right,1588322446.07,0.399724805883
left,1588322446.07,0.394232885083
right,1588322446.08,0.408647541258
left,1588322446.08,0.403264054379
left,1588322446.09,0.412116270741
right,1588322446.09,0.417393473746
right,1588322446.1,0.425966096108
 left,1588322446.1,0.420793021136
right,1588322446.12,0.434368838899
