throttle,steering,rpm
1.0,0.25,10961.5106227
1.0,0.3125,13367.0921056
1.0,0.375,11149.5032366
1.0,0.4375,12751.9100896
1.38777878078e-16,0.4375,13040.5998946
0.800000011921,0.1875,11119.5728531
0.699999988079,0.125,12956.8296231
1.38777878078e-16,0.5,12563.7390397
1.0,1.0,12766.8922231
1.0,1.0,11075.3185648
1.0,1.0,12692.0298528
0.5,1.0,12894.8027686
1.38777878078e-16,1.0,12574.0457851
1.0,1.0,10947.8890199
1.38777878078e-16,1.0,13010.2245416
1.0,1.0,12892.4415772
1.38777878078e-16,1.0,11268.5605851
1.0,1.0,11079.7508168
1.0,1.0,11072.4241366
0.600000023842,1.0,11142.4495889
1.0,1.0,11928.3824576
1.38777878078e-16,1.0,12841.9459638
1.38777878078e-16,1.0,10786.4461987
0.699999988079,1.0,12062.3164997
0.10000000149,1.0,12623.2419503
0.899999976158,1.0,10658.4652857
0.600000023842,1.0,12615.3743119
0.899999976158,1.0,12867.2670379
0.20000000298,1.0,10921.2241837
1.0,1.0,10737.8898565
0.20000000298,1.0,10995.2602117
0.800000011921,1.0,10395.2193913
1.0,1.0,13155.9123963
1.38777878078e-16,1.0,11872.8913017
1.38777878078e-16,1.0,10663.7668597
0.699999988079,1.0,10500.9787251
1.38777878078e-16,1.0,11071.8832978
0.699999988079,1.0,13067.4468371
0.699999988079,1.0,13022.8677937
1.38777878078e-16,1.0,12960.763561
1.0,1.0,12905.8829384
1.0,1.0,12922.6466342
1.38777878078e-16,1.0,12898.6908798
1.38777878078e-16,1.0,8698.32991831
1.38777878078e-16,1.0,8366.15298705
0.899999976158,0.5,8489.39942108
0.10000000149,-0.0625,12476.3895058
0.5,0.6875,12968.8311546
0.20000000298,0.4375,8685.70866187
0.40000000596,0.5625,8672.96827664
1.38777878078e-16,0.9375,12789.8898056
0.20000000298,0.6875,8641.42885936
1.38777878078e-16,-1.0,12473.5013714
1.38777878078e-16,-1.0,7930.86719183
0.899999976158,-0.25,7858.13462888
1.38777878078e-16,-1.0,11962.5819197
1.38777878078e-16,-1.0,12391.6054099
1.38777878078e-16,-1.0,8766.58692684
1.38777878078e-16,-1.0,9948.91027095
1.38777878078e-16,-1.0,11771.9610874
1.38777878078e-16,-1.0,9165.67338443
1.38777878078e-16,-1.0,12196.081188
1.38777878078e-16,-1.0,8729.18241488
1.38777878078e-16,-1.0,9281.17333239
1.38777878078e-16,-1.0,12066.4215349
1.38777878078e-16,-1.0,9812.02901835
1.38777878078e-16,-1.0,12102.4056825
1.38777878078e-16,-1.0,11407.2006826
1.38777878078e-16,-1.0,10902.3424757
1.38777878078e-16,-1.0,8301.9398926
1.38777878078e-16,-1.0,8401.99572235
1.38777878078e-16,-1.0,10788.909414
1.38777878078e-16,-1.0,11583.6709742
1.38777878078e-16,-1.0,7301.04131088
0.10000000149,-1.0,11300.8229591
1.38777878078e-16,-1.0,7455.53476702
1.38777878078e-16,-1.0,7255.15535459
1.38777878078e-16,-1.0,11177.6347482
0.10000000149,-1.0,7216.29151283
1.38777878078e-16,-1.0,8456.39498896
1.38777878078e-16,-1.0,8454.035139
0.40000000596,-1.0,11196.032918
1.38777878078e-16,-1.0,10658.1647053
0.5,-1.0,8844.10231255
1.38777878078e-16,-1.0,10532.4782982
1.38777878078e-16,-1.0,8681.89468335
1.38777878078e-16,-1.0,10813.7252172
1.38777878078e-16,-1.0,10535.8088511
1.38777878078e-16,-1.0,10759.4688419
1.38777878078e-16,-1.0,9638.41561941
0.300000011921,-1.0,10237.6773993
0.10000000149,-1.0,10236.5104673
0.5,-1.0,9743.51222438
0.600000023842,-1.0,9916.03035961
0.20000000298,-1.0,10586.2660838
1.38777878078e-16,-1.0,9969.05940094
1.38777878078e-16,-0.9375,10055.9813922
1.0,-0.75,10021.3045508
1.0,-0.9375,6330.65183365
1.38777878078e-16,-0.6875,9617.92956646
1.38777878078e-16,-0.5625,5924.57883253
0.5,-0.75,5778.62932302
0.300000011921,-0.75,10269.39682
1.38777878078e-16,-0.6875,9101.18049677
1.38777878078e-16,-0.625,10204.7696838
1.0,-0.4375,7889.47664462
1.38777878078e-16,-0.5625,10296.9314264
1.38777878078e-16,-0.375,6419.55953034
0.899999976158,-0.5,7211.60682462
1.0,-0.3125,7822.08672593
1.0,-0.125,7900.19314261
1.0,-0.1875,8133.65756242
0.800000011921,-0.1875,10464.2201559
1.0,-0.25,10177.9505381
0.899999976158,-0.375,10133.7791266
1.38777878078e-16,-0.1875,7095.11185454
1.38777878078e-16,0.3125,10455.5024816
1.38777878078e-16,0.625,9966.22107621
1.38777878078e-16,0.4375,9258.80874248
1.0,-0.0625,8625.9020821
1.0,0.0625,7169.92882725
1.0,0.6875,9902.25717201
1.0,0.9375,8186.84236974
1.0,0.875,8130.4003112
1.0,0.75,10242.9016593
1.0,0.8125,10809.6323437
1.0,0.875,9587.14899742
1.0,0.9375,9124.79458257
1.0,-0.5,10165.6410894
1.0,0.0,8950.86014067
1.0,-0.5,8664.7270609
1.0,-0.3125,8718.20480884
1.0,-0.375,8947.71534042
0.10000000149,0.4375,8787.17665573
1.38777878078e-16,0.6875,10677.5815381
0.20000000298,0.4375,8077.29760584
1.38777878078e-16,-0.4375,10335.5639972
1.0,-0.5625,8735.2373252
0.10000000149,-0.5625,7605.42838062
0.600000023842,-0.1875,8408.45611519
1.0,-0.0625,9636.18268439
1.0,0.0,10955.0337234
1.0,0.125,8615.18478251
1.0,0.0,9523.80842668
0.600000023842,0.0625,8644.65998971
1.0,0.0,8732.66530786
1.0,-0.8125,8794.3068016
1.0,-0.375,8719.06333043
0.20000000298,-0.3125,10767.6384675
1.38777878078e-16,-0.25,7980.84657542
1.38777878078e-16,-0.1875,8624.18331603
0.699999988079,-0.1875,10702.4307555
1.0,-0.125,9277.01104856
1.0,-0.0625,8774.11598527
1.0,-0.0625,8927.09742174
1.0,0.0,8865.36917535
0.5,0.25,8920.64983534
1.0,0.0,8917.33164109
0.699999988079,-0.125,9001.90011865
1.0,-0.125,9061.73856044
0.800000011921,-0.1875,9106.99458304
0.40000000596,0.0,9029.83111118
0.40000000596,0.0,8967.07581915
1.0,0.0,9004.30182591
1.0,0.0,9067.72447134
0.600000023842,-0.0625,10505.9488968
1.0,-0.0625,9123.5941729
0.600000023842,-0.25,8837.88848258
0.10000000149,-0.25,11018.7227452
0.5,-0.25,11029.5486093
1.38777878078e-16,0.0625,8747.39952612
1.38777878078e-16,0.125,8952.42446965
1.0,0.125,8865.38735463
1.38777878078e-16,0.0625,8804.13517249
1.0,-0.0625,8872.03084641
0.5,-0.375,8514.45848944
1.0,-0.5,8377.5857891
1.0,-0.5,10891.2641396
0.300000011921,-0.125,10307.5934027
1.38777878078e-16,0.875,8728.61945993
0.10000000149,0.4375,8720.09767576
0.600000023842,-0.0625,8553.34855424
1.0,-0.0625,9025.37379066
1.0,-0.0625,10630.3223938
0.40000000596,-0.375,9284.48179689
1.38777878078e-16,1.0,8736.40050619
0.40000000596,-0.6875,8732.3268792
1.38777878078e-16,0.5625,8640.49585063
0.10000000149,-0.25,8574.09594538
1.38777878078e-16,-1.0,8269.20994825
1.38777878078e-16,-1.0,10543.8824013
1.0,-1.0,10614.9781269
1.0,-1.0,8787.77959014
1.0,-1.0,6947.14858265
1.38777878078e-16,-1.0,8466.02088507
1.38777878078e-16,-0.9375,10351.2123502
1.38777878078e-16,-0.75,9270.39691119
0.5,-0.25,9140.12310626
1.0,-0.3125,7049.83908727
1.0,-0.125,10609.2701116
1.0,-0.125,9077.62513083
0.300000011921,-0.3125,10256.3179884
1.38777878078e-16,-0.9375,8375.89061961
1.0,-0.8125,10885.204725
1.0,-0.75,10645.5352604
1.0,0.0,8100.50895831
1.0,0.0,10332.9526885
1.0,0.0,8310.49449194
1.38777878078e-16,-0.5625,8373.78955388
1.0,-0.5,7158.36145936
1.38777878078e-16,-0.5625,10320.9307333
1.38777878078e-16,-0.5,8476.87434551
